region_id,image_id,tile_id,area,foci_count_rad51,foci_count_probs,foci_fraction_rad51,foci_fraction_probs
18,A1,tile_06,1354.0,8,3,0.018561847288565986,0.004640461951274111
19,A1,tile_06,1736.0,6,2,0.010858039125310345,0.0
20,A1,tile_06,1828.0,14,11,0.03437191087078549,0.015467358887586866
21,A1,tile_06,1144.0,2,0,0.005492294848933205,0.0
22,A1,tile_06,239.0,1,0,0.013144739136358967,0.0
23,A1,tile_06,1094.0,2,0,0.007976824734891818,0.0
24,A1,tile_06,626.0,9,6,0.07583539241892295,0.030111111771946135
1,A1,tile_07,448.0,5,4,0.040516571921296936,0.02804993518761226
2,A1,tile_07,788.0,4,0,0.025249687148141315,0.0
3,A1,tile_07,850.0,3,0,0.02053328531758035,0.0
4,A1,tile_07,1263.0,9,1,0.022386645987575723,0.0
5,A1,tile_07,959.0,3,0,0.009827714244806444,0.0
6,A1,tile_07,1185.0,10,5,0.02651133041004045,0.010604532459114172
7,A1,tile_07,1454.0,13,6,0.028088517535534603,0.012963931203052463
8,A1,tile_07,1910.0,14,6,0.02430667963510428,0.008224064891875103
9,A1,tile_07,1267.0,7,6,0.01735686548944637,0.009918209127111518
10,A1,tile_07,1340.0,14,2,0.06798969175679404,0.004688944389571005
11,A1,tile_07,983.0,10,6,0.031959233505491284,0.01278369375793519
12,A1,tile_07,1281.0,16,12,0.052319003338471726,0.029429439452362656
13,A1,tile_07,1075.0,9,4,0.02857469286986065,0.005844823704209439
14,A1,tile_07,1116.0,14,10,0.03941066052890422,0.028150469598804323
15,A1,tile_07,979.0,9,6,0.05455268142086465,0.019253887609027867
16,A1,tile_07,297.0,1,0,0.010577753042389875,0.0
17,A1,tile_07,1320.0,8,6,0.019039955476301777,0.007139983321681167
18,A1,tile_07,732.0,1,0,0.004291793242609007,0.0
19,A1,tile_07,466.0,3,0,0.02022484540937635,0.0
20,A1,tile_07,1231.0,6,4,0.021834338327142707,0.005104131179549266
21,A1,tile_07,1118.0,3,6,0.008430033954176547,0.005620022792509075
22,A1,tile_07,813.0,10,2,0.03864197605891505,0.0038641977134225994
23,A1,tile_07,1281.0,11,6,0.05749640471050797,0.014714719726181328
24,A1,tile_07,847.0,6,1,0.028848417388336024,0.0037090823388578197
25,A1,tile_07,1206.0,8,4,0.02489192631368364,0.007814907118257993
26,A1,tile_07,1181.0,7,6,0.022758738764362976,0.01330056218753721
27,A1,tile_07,500.0,5,0,0.05026548245743669,0.0
28,A1,tile_07,1566.0,11,3,0.02206738134705474,0.004012251265661013
29,A1,tile_07,1152.0,7,6,0.0212105985485422,0.010908308128515879
30,A1,tile_07,1308.0,9,7,0.02775447128553674,0.014410975511650062
31,A1,tile_07,1243.0,12,6,0.03482233744928348,0.012637139133935193
32,A1,tile_07,1206.0,5,1,0.013024845164136788,0.002604969105317225
33,A1,tile_07,1240.0,5,6,0.017171787801879695,0.01520125481390184
34,A1,tile_07,1204.0,5,1,0.013046481119558941,0.0
35,A1,tile_07,1027.0,4,0,0.020053442233235724,0.0
36,A1,tile_07,1348.0,11,5,0.02744879832513337,0.011652792242938758
37,A1,tile_07,1326.0,7,2,0.01658457660266105,0.0
38,A1,tile_07,1020.0,5,5,0.01539996398818526,0.0030799928833456602
39,A1,tile_07,378.0,4,0,0.059101096363829146,0.0
40,A1,tile_07,750.0,4,5,0.029321531433504737,0.0
41,A1,tile_07,464.0,0,0,0.0,0.0
42,A1,tile_07,477.0,0,0,0.0,0.0
43,A1,tile_07,836.0,3,0,0.014196458030575888,0.0
1,A1,tile_08,1079.0,2,0,0.005823155984411109,0.0
2,A1,tile_08,232.0,2,0,0.061688361492903014,0.0
3,A1,tile_08,275.0,1,0,0.011423973285781066,0.0
4,A1,tile_08,825.0,3,2,0.041464791926168316,0.0038079912012273613
5,A1,tile_08,127.0,2,0,0.049473900056532176,0.0
6,A1,tile_08,683.0,6,2,0.027598178508841522,0.009199393092276935
7,A1,tile_08,1156.0,6,2,0.016305844222784395,0.0
8,A1,tile_08,1067.0,5,1,0.01472161505899622,0.002944323093732496
9,A1,tile_08,1651.0,6,0,0.011417053859199732,0.0
10,A1,tile_08,1405.0,7,6,0.01565206304279612,0.008944036273345404
11,A1,tile_08,676.0,2,0,0.01290924002954386,0.0
12,A1,tile_08,1079.0,5,5,0.014557889961027772,0.0
13,A1,tile_08,1736.0,11,7,0.021313928653386972,0.012667711978683823
14,A1,tile_08,750.0,1,0,0.0041887902047863905,0.0
15,A1,tile_08,1294.0,7,5,0.02077130639931428,0.00971126040498477
16,A1,tile_08,1511.0,10,5,0.022408595293639966,0.010395740531754762
17,A1,tile_08,1094.0,12,7,0.047222802430559555,0.020101597801640874
18,A1,tile_08,1585.0,2,1,0.0039641547679366475,0.0
19,A1,tile_08,1234.0,18,8,0.049785729068233725,0.020366888185374354
20,A1,tile_08,1380.0,14,7,0.03364185369786172,0.015935614489126896
21,A1,tile_08,1006.0,4,0,0.012491422081867964,0.0
22,A1,tile_08,1077.0,8,4,0.03208683304502109,0.011667939613788572
23,A1,tile_08,1381.0,11,8,0.029067757274344377,0.01592407530412391
24,A1,tile_08,1397.0,10,5,0.026486027302991974,0.011244068678225801
25,A1,tile_08,1447.0,16,6,0.04679942983923982,0.013026645452134266
26,A1,tile_08,1316.0,8,5,0.023341789388374008,0.011936142814195628
27,A1,tile_08,1465.0,5,3,0.012390050662621862,0.004288863810256073
28,A1,tile_08,729.0,1,0,0.0043094549431958755,0.0
29,A1,tile_08,1070.0,2,1,0.04991315430937055,0.0
30,A1,tile_08,1724.0,5,0,0.009111347603218658,0.0
31,A1,tile_08,835.0,3,0,0.011287159234454346,0.0
32,A1,tile_08,1912.0,18,9,0.029575663056807686,0.014787830568257734
33,A1,tile_08,1320.0,7,3,0.016659961041764055,0.007139983321681167
34,A1,tile_08,722.0,5,3,0.029491713122341858,0.01305370911997111
35,A1,tile_08,1455.0,10,2,0.023271056693257724,0.004318340537474328
36,A1,tile_08,1944.0,10,7,0.020290350357547247,0.008080228365988398
37,A1,tile_08,1615.0,14,9,0.03177255728088749,0.017507326344587487
38,A1,tile_08,1514.0,5,3,0.011989051664954445,0.0
39,A1,tile_08,990.0,7,3,0.02221328138901874,0.009519977762241557
40,A1,tile_08,1373.0,4,1,0.009152491343306025,0.002288122899499325
41,A1,tile_08,426.0,3,0,0.03933136342522432,0.0
42,A1,tile_08,1509.0,9,4,0.01873713312280195,0.006245711056738993
43,A1,tile_08,1632.0,9,3,0.017324959486708418,0.0019249955520910375
44,A1,tile_08,816.0,3,0,0.011549972991138946,0.0
45,A1,tile_08,93.0,0,0,0.0,0.0
1,A1,tile_09,543.0,7,0,0.0404993528087082,0.0
2,A1,tile_09,1609.0,11,5,0.027986012866037104,0.00585753759143514
3,A1,tile_09,1797.0,21,6,0.036713102796541844,0.010489457968413067
4,A1,tile_09,1213.0,21,0,0.0610073868792742,0.0
5,A1,tile_09,1594.0,13,4,0.025621521014220397,0.007883545146832054
6,A1,tile_09,1317.0,15,7,0.041877300199712086,0.01669791039862955
7,A1,tile_09,1079.0,18,2,0.054672964520304325,0.005823156146455187
8,A1,tile_09,1626.0,17,11,0.0328456796500778,0.015456789680659258
9,A1,tile_09,1600.0,17,11,0.03839724354387526,0.019634952545166017
10,A1,tile_09,800.0,14,4,0.06414085001079163,0.015707963705062868
11,A1,tile_09,1403.0,18,3,0.04428633027155962,0.006717589440213215
12,A1,tile_09,1112.0,21,0,0.1735912007828892,0.0
13,A1,tile_09,1054.0,17,7,0.07153531659027992,0.020864466788420414
14,A1,tile_09,692.0,7,3,0.03985000315247168,0.013619621365056562
15,A1,tile_09,1308.0,15,4,0.0467022353362397,0.009607317250802976
16,A1,tile_09,1133.0,16,2,0.044364944799149784,0.005545618254214604
17,A1,tile_09,1456.0,23,5,0.05681909790146378,0.010788436774369125
18,A1,tile_09,1079.0,15,1,0.08670032243456541,0.0029115780732275934
19,A1,tile_09,867.0,15,0,0.07891223376952448,0.0
20,A1,tile_09,1340.0,8,6,0.020579255359336125,0.0023444721947855026
21,A1,tile_09,1034.0,5,4,0.017554568878859794,0.009114872325550426
22,A1,tile_09,1302.0,11,6,0.03217196777869732,0.01447738553704937
23,A1,tile_09,1319.0,8,5,0.029640163187773298,0.009527195575474066
24,A1,tile_09,1439.0,13,2,0.028381309587677078,0.004366355442685994
25,A1,tile_09,463.0,7,2,0.07840788000320098,0.01357059499357483
26,A1,tile_09,1092.0,6,1,0.01949909970176815,0.0
27,A1,tile_09,1305.0,6,4,0.01631648802630714,0.009629403037586432
28,A1,tile_09,1017.0,9,5,0.0332933996938938,0.01544539227480968
29,A1,tile_09,1397.0,6,1,0.013492881833599684,0.0
30,A1,tile_09,883.0,4,0,0.014231450299387511,0.0
31,A1,tile_09,1393.0,4,1,0.009021084432418645,0.0
32,A1,tile_09,244.0,2,0,0.04577912792116274,0.0
33,A1,tile_09,169.0,0,0,0.0,0.0
1,A1,tile_10,837.0,2,0,0.007506792481696041,0.0
2,A1,tile_10,731.0,1,0,0.004297664368795887,0.0
3,A1,tile_10,395.0,2,0,0.022092775341700375,0.0
4,A1,tile_10,1399.0,13,1,0.04291588725418508,0.0022455988141619537
5,A1,tile_10,1328.0,4,1,0.011302584011409062,0.0023656571844974197
6,A1,tile_10,853.0,1,0,0.0036829925598942477,0.0
7,A1,tile_10,1079.0,2,1,0.005823155984411109,0.0029115780732275934
8,A1,tile_10,868.0,5,5,0.020911779056153258,0.018096732653780468
9,A1,tile_10,2634.0,14,0,0.02120369630365169,0.0
10,A1,tile_10,1046.0,6,4,0.020356612690564838,0.012013738971367392
11,A1,tile_10,1402.0,14,4,0.031371110663521475,0.008963174724714902
12,A1,tile_10,760.0,6,3,0.024802047265182578,0.012401023663972553
13,A1,tile_10,1039.0,10,2,0.046026969686857204,0.006047339251227283
14,A1,tile_10,1351.0,18,9,0.041856896939020206,0.02092844711066528
15,A1,tile_10,1260.0,9,8,0.03352140309385934,0.017453292059519933
16,A1,tile_10,1079.0,15,2,0.061143137836316634,0.005823156146455187
17,A1,tile_10,1254.0,10,8,0.027001106450310997,0.02004205743281655
18,A1,tile_10,1210.0,11,5,0.030579322431636188,0.007789072714561273
19,A1,tile_10,865.0,11,0,0.06819899273688824,0.0
20,A1,tile_10,774.0,6,2,0.02435343142317669,0.008117810700290887
21,A1,tile_10,893.0,2,0,0.0070360417773567595,0.0
22,A1,tile_10,345.0,2,0,0.01821213132515822,0.0
23,A1,tile_10,817.0,6,2,0.03460750781188267,0.007690557505538735
24,A1,tile_10,230.0,1,0,0.024282841766877627,0.0
25,A1,tile_10,2289.0,16,11,0.023027061341296968,0.012352263891004276
26,A1,tile_10,1456.0,22,8,0.05298320943554216,0.01510381043612302
27,A1,tile_10,830.0,8,1,0.030280411118937766,0.0037850514951958715
28,A1,tile_10,111.0,1,0,0.028302636518826967,0.0
29,A1,tile_10,3417.0,23,5,0.022576398284503776,0.001838801721400394
30,A1,tile_10,1328.0,4,1,0.009462628474668052,0.0023656571844974197
31,A1,tile_10,1747.0,17,4,0.030570735610204066,0.003596557230695562
32,A1,tile_10,1389.0,4,7,0.010806214231210393,0.009047063329049887
33,A1,tile_10,132.0,1,0,0.02379994434537722,0.0
34,A1,tile_10,1371.0,8,4,0.018331685797752257,0.009165843153938945
35,A1,tile_10,1143.0,8,5,0.026874711141819947,0.005497100159252096
36,A1,tile_10,1679.0,4,0,0.00748443753088694,0.0
37,A1,tile_10,990.0,4,0,0.01269330365086785,0.0
38,A1,tile_10,763.0,2,0,0.014639721117645752,0.0
39,A1,tile_10,722.0,0,0,0.0,0.0
40,A1,tile_10,880.0,2,2,0.007139983303613166,0.007139983502301303
41,A1,tile_10,984.0,0,0,0.0,0.0
42,A1,tile_10,1051.0,1,0,0.002989146197516454,0.0
43,A1,tile_10,97.0,0,0,0.0,0.0
44,A1,tile_10,439.0,6,0,0.042937485014894666,0.0
45,A1,tile_10,404.0,10,7,0.08381036507101483,0.054433534641077023
46,A1,tile_10,195.0,0,0,0.0,0.0
47,A1,tile_10,179.0,1,0,0.01755079694742901,0.0
48,A1,tile_10,55.0,0,0,0.0,0.0
1,A1,tile_11,1616.0,14,6,0.02721676803852544,0.003888109827985858
2,A1,tile_11,895.0,4,5,0.044852036643429696,0.010530478195105185
3,A1,tile_11,1185.0,4,0,0.010604532164016179,0.0
4,A1,tile_11,1158.0,13,4,0.035268311309729974,0.010851788397280045
5,A1,tile_11,1292.0,7,3,0.01891223647671874,0.007294719802336796
6,A1,tile_11,1574.0,18,10,0.04546283312056387,0.01995929102431107
7,A1,tile_11,1142.0,13,6,0.03790207132176828,0.016505740778667496
8,A1,tile_11,1215.0,4,0,0.0103426918636701,0.0
9,A1,tile_11,1240.0,9,0,0.027305957652169345,0.0
