image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_03,9,1152.0,17,0.0584806502838378,7,0.019089538693687978,4,0.01090830782496456,5,0.21816616588168675,3,0.1308996942308214,2,0.08726646502812703
A1,tile_03,10,1155.0,16,0.05772430945989904,11,0.04412434126254062,9,0.026595493363723115,6,0.11454195625338204,5,0.09519978312702922,3,0.06830206536627435
A1,tile_03,11,2017.0,15,0.023363356372755037,6,0.009345342549102012,4,0.006230228366068008,11,0.05849492343038276,7,0.044303848652421214,5,0.03149726879023418
A1,tile_03,12,317.0,0,0.0,0,0.0,0,0.0,2,0.18609504820044484,0,0.0,0,0.0
A1,tile_03,13,1439.0,18,0.12031734662810112,17,0.05457944151476362,13,0.028381309587677078,7,0.2129811173598745,2,0.054579442536524386,1,0.019648598995036428
A1,tile_03,14,1609.0,22,0.07267685511722816,15,0.03514522545967451,15,0.029287687883062092,9,0.1512112709363104,5,0.08395804908425264,5,0.08395804908425264
A1,tile_03,15,1267.0,11,0.031132155560435557,6,0.01873439449654529,3,0.009367197248272644,4,0.11295738310539168,3,0.09532501533827446,2,0.05565217581901761
A1,tile_03,16,1389.0,16,0.03794740346308767,9,0.020355891923907948,8,0.01809412615458484,8,0.17566383751799855,4,0.10203077674684463,1,0.016083669971441346
A1,tile_03,17,1388.0,18,0.05457297517042791,10,0.02967562705120041,7,0.021125022646617246,6,0.11568465219107417,3,0.048537257081837065,1,0.030430092935259816
A1,tile_03,18,1139.0,10,0.04903471120616202,6,0.01654921503207968,3,0.00827460751603984,7,0.12994199891797903,5,0.11124750393540112,1,0.015016882329577411
A1,tile_03,19,1353.0,17,0.052630771235305726,11,0.03508718082353715,4,0.011093740995677188,6,0.17466193380306494,6,0.17466193380306494,3,0.07946214584271642
